Date,Open,High,low,Close,Volume
20220209,30000,30000,29410,29620,1754238
20220208,29690,29890,29030,29580,3800062
20220207,29150,29870,29010,29200,1705522
20220206,29950,29950,28210,29160,4915291
20220205,30000,30240,29560,29610,5515311
20220202,29350,30000,29350,29570,2045450
20220201,29910,29910,29120,29330,4208029
20220131,29470,29780,28860,29110,2281127
20220130,28800,29490,28610,28850,5392543
20220125,27500,27750,26110,26920,14828562
20220124,28050,28770,27190,27480,9120746
20220123,28500,29000,28040,28620,3257022
20220122,29290,29480,28640,28770,1854878
20220119,28490,29630,28300,28640,2600079
20220118,28580,29260,27690,28250,5670205
20220117,29000,29450,28470,29140,2486581
20220116,29660,29780,29000,29380,2913771
20220115,29300,29990,29280,29740,1876815
20220112,29560,30090,29220,29840,2083342
20220111,29830,29990,29530,29820,5534625
20220109,29220,29740,29120,29830,862147
20220108,30010,30040,29660,29970,1916464
20220105,30000,30110,29530,30010,3244494
20220104,30620,30620,29420,30010,5017605
20220103,31170,31170,30590,30630,1967724
20220102,30010,31220,30010,30600,2240772
20220101,31200,31200,30150,30480,4208044
20211229,31360,31590,30980,31140,2761687
20211228,30790,31340,30790,30970,6734476
20211227,30130,31090,30000,30790,3998145
20211226,29500,30300,29490,29960,3847334
20211225,29300,30220,29300,29840,3897316
20211222,28880,29290,28470,28790,3791720
20211221,28220,28800,27860,28020,2455901
20211220,27520,28070,27260,27800,6292596
20211219,27880,27880,27300,27510,2178753
20211218,27370,28050,27370,27490,1566565
20211215,27800,28400,27230,27360,2817915
20211214,26790,27500,26790,27140,1686435
20211213,27000,27480,26720,27110,6027378
20211212,27230,27340,27000,27210,4805482
20211211,27790,27960,27240,27420,4362334
20211208,27380,27700,27150,27210,1365803
20211207,27100,27290,26740,27040,1979364
20211206,27390,27400,26730,27030,1118202
20211205,26880,27250,26880,26990,1993513
20211204,26360,27120,26360,26830,2763751
20211201,27470,27500,26320,26910,2689642
20211130,27000,27310,26750,27030,1915793
20211129,27120,27520,26790,27030,5009100
20211128,27080,28400,27020,27870,2120480
20211127,28200,28200,27240,27840,2584626
20211124,28890,29260,28150,28380,3434340
20211123,28400,29500,28240,28600,2308683
20211122,28880,28890,28300,28440,4292349
20211121,28170,28780,28100,28320,3854308
20211120,29290,29900,28200,28500,4086251
20211117,30200,30200,29270,29530,3242274
20211116,29250,30700,28700,29640,2592513
20211115,30740,30740,29270,29830,4513561
20211114,30760,30950,30600,30740,3840453
20211113,29900,31090,29900,30760,2740689
20211110,30500,31460,30500,31060,3608260
20211109,30600,31080,30000,30760,4253788
20211108,29960,30860,29110,30020,5054387
20211107,30520,30690,29390,29970,5932492
20211106,29620,30590,29620,30520,8797493
20211103,28260,29670,28260,29140,5036592
20211102,28200,28900,28040,28260,1527210
20211101,27730,28800,27730,28040,2256391
20211031,28490,28490,27010,27510,5837989
20211030,28190,28750,28010,28250,3482008
20211027,27960,28470,27960,28180,2728371
20211026,27500,28280,27400,27960,5178801
20211025,27440,28100,27350,27550,3775420
20211023,28400,28400,27400,27710,3813860
20211020,28550,28550,27780,28030,2791863
20211019,28440,28600,27810,28070,2298494
20211018,26970,28430,26930,27810,5874339
20211017,28200,28200,27010,27520,4053690
20211016,27020,27570,25590,27540,11691538
20211013,26540,27000,26050,26260,4193875
20211012,27020,27500,26510,26730,4810522
20211011,27990,28200,27260,27600,2160228
20211010,27150,28100,27000,27500,2784388
20211009,28470,28470,27060,27590,3265474
20211006,27920,28500,27720,28090,4463946
20211004,28300,28810,27810,28200,3361139
20211003,28700,28790,27750,28310,6618169
20211002,27100,28100,27100,28060,27439102
20210929,26990,26990,26500,26770,3600084
20210928,27100,27500,26520,27080,1810882
20210926,27690,27690,26870,27080,1994801
20210925,26970,27500,26580,27010,3817780
20210922,26210,27000,25580,26410,3505851
20210921,27560,27560,26370,26500,10875360
20210920,27700,28200,27390,27750,4378261
20210919,27500,28670,27390,27580,8118116
20210918,29860,29980,28730,28830,6318554
20210915,30490,30490,29780,30240,2109528
20210914,30050,30680,29750,30380,4488416
20210913,29700,30710,29510,30020,2814879
20210912,30900,30900,29570,30090,4427397
20210911,30840,31220,30580,30910,5450275
20210908,30580,31450,30320,30830,5522124
20210907,30120,30850,30120,30540,5027493
20210906,30100,31660,30100,31120,6238219
20210905,31400,31600,30820,31220,7308193
20210904,31000,31400,30610,31060,7618557
20210901,29670,31180,29310,30470,12557208
20210831,28570,30800,28570,29700,8812790
20210830,30970,30970,29410,29780,13759928
20210829,30810,31510,30600,30950,14342264
20210828,31140,31140,30600,30840,7070774
20210825,30050,30300,29670,29980,6873145
20210824,29950,30530,29800,30050,5380805
20210823,29800,30050,29110,29660,9349642
20210822,30550,30550,29810,30050,7972821
20210815,30040,30480,29870,30190,8404107
20210814,30000,30250,28870,29440,11505840
20210811,29640,30590,29620,30030,10325452
20210810,29620,30260,29370,29910,8129282
20210809,29680,29810,29200,29370,8199033
20210808,29600,30020,29310,29740,5125720
20210807,30850,30860,29720,29980,10190724
20210804,29400,30510,28790,30240,14244330
20210803,28750,29570,28310,29060,7211594
20210802,28300,28790,28040,28310,5457435
20210801,28190,29110,28190,28610,9309882
20210731,28220,29050,27830,28640,11120866
20210728,27900,28070,26700,27670,10582609
20210727,26940,27900,26940,27730,31185690
20210726,25740,26690,25580,26580,18990057
20210719,25130,25600,25000,25420,4105328
20210718,25130,25170,24700,24940,2801896
20210717,25850,25850,24670,25030,6952032
20210714,25550,25850,25200,25430,3468953
20210713,24750,25780,24530,25350,7668161
20210712,24850,25230,24690,24900,8618949
20210711,24970,25000,24540,24810,4208465
20210710,25300,25300,24700,24870,6669422
20210707,25350,25900,24580,25270,3947501
20210706,24750,25400,24460,25030,5307903
20210705,24620,24780,24100,24390,5211203
20210629,26280,26660,25980,26170,15178098
20210628,25500,26300,25100,25980,11261737
20210627,24930,25500,24910,25090,4941980
20210626,25000,25500,24610,24910,9561470
20210623,23650,24760,23650,24470,8622792
20210622,23700,23860,23350,23590,4403317
20210621,23690,23900,23500,23600,2905130
20210620,23470,23700,23200,23500,5094694
20210619,23190,23520,22810,23280,3542988
20210616,23360,23370,22880,23220,2522778
20210615,23680,23680,23000,23260,3084983
20210614,22900,23380,22890,23210,5183166
